LONG,LAT,CASES,N
37.43879,8.53897,1,30
37.44049,7.96619,0,31
37.44208,9.35953,2,30
37.44709,8.14405,4,32
37.45068,8.0947,13,37
37.45127,8.50914,0,32
37.45774,8.48965,2,48
37.45914,8.0856,5,32
37.46189,8.03261,3,43
37.467061,8.785228,5,32
37.4833,7.5,4,35
37.491875,8.137276,2,32
37.50612,7.95343,0,31
37.535283,8.959775,1,30
37.55,8,5,30
37.57544,12.342024,2,50
37.576644,6.718543,1,39
37.5833,7.5833,3,30
37.5833,9.7833,0,50
37.5833,11.4833,0,50
37.59665,9.85753,3,30
37.6,6.085423,0,30
37.601876,10.439498,0,31
37.608719,11.542806,1,28
37.618554,11.20006,1,28
37.619019,10.292039,7,48
37.62419,9.05993,0,30
37.627088,11.752042,0,30
37.627664,7.210543,1,33
37.635327,8.815544,0,37
37.659202,12.159271,0,30
37.672043,6.385258,0,31
37.6833,11.7833,0,47
37.683495,8.303691,0,30
37.6835,8.30369,0,30
37.70542,8.03524,0,32
37.720428,11.921693,0,19
37.7333,12.0333,0,35
37.735425,7.628309,0,38
37.752201,10.335221,0,31
37.79185,8.622,0,31
37.794976,6.954283,0,31
37.8,8.4167,0,33
37.832721,6.668552,0,28
37.868577,8.971609,0,30
37.868614,9.634387,0,35
37.9333,8.5667,0,35
37.9333,11.1167,0,50
37.93337,8.14204,0,32
37.937252,6.872821,0,31
37.93884,9.45361,0,30
37.958783,7.206609,0,34
37.99254,7.69557,2,31
38.00807,7.67857,0,33
38.01626,8.13721,0,30
38.1,7.1667,3,30
38.1167,7.9667,7,30
38.1333,7.4333,3,33
38.1667,9.8833,0,30
38.2167,6.8833,5,30
38.22814,7.69356,0,30
38.2333,10.0667,0,50
38.27843,7.96162,0,30
38.3,11.2333,0,50
38.3667,12.7167,0,35
38.37438,8.11148,0,32
38.3833,8.8833,0,35
38.3833,10.4667,0,50
38.4,10.7833,0,40
38.5167,12.0333,0,50
38.5333,12.4167,0,50
38.55,8.7,0,40
38.6333,8.1667,0,40
38.7333,5.4167,0,40
38.75,6.5167,6,32
38.7667,12.85,0,38
38.8333,5.65,0,25
38.85,12,0,50
38.85,12.3167,0,50
38.9,8.3667,0,30
38.95,5.4,0,50
39.0333,10.65,0,50
39.0833,11.9,0,50
39.1167,9.9667,0,50
39.1833,8.4667,0,30
39.1833,11.5,0,40
39.3667,7.1167,0,50
39.4167,8.2833,0,30
39.5167,7.4333,0,40
39.5333,5.7,0,50
39.55,8.5,0,30
39.6833,5.5,0,40
39.75,7.3833,0,30
39.8333,7.3,0,30
39.8833,8.75,0,21
40.3667,7.1167,0,30
